172.19.0.1 - - [17/Dec/2020:10:28:35 +0000] "GET /allusers.html HTTP/1.1" 200 679 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:28:36 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:04 +0000] "GET /allusers.html HTTP/1.1" 200 671 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:04 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:05 +0000] "GET /allusers.html HTTP/1.1" 200 670 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:05 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:05 +0000] "GET /allusers.html HTTP/1.1" 200 670 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:05 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:29:55 +0000] "-" 408 0 "-" "-"
172.19.0.1 - - [17/Dec/2020:10:30:43 +0000] "GET /allusers.html HTTP/1.1" 200 678 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:30:43 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:30:44 +0000] "GET /allusers.html HTTP/1.1" 200 677 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:30:44 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:30:58 +0000] "GET /allusers.html HTTP/1.1" 200 677 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:30:58 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:31:41 +0000] "GET /allusers.html HTTP/1.1" 200 670 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:31:41 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:32:17 +0000] "GET /allusers.html HTTP/1.1" 200 658 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:32:17 +0000] "GET /api/fetchUsers.php HTTP/1.1" 200 237 "http://localhost/allusers.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
172.19.0.1 - - [17/Dec/2020:10:33:08 +0000] "-" 408 0 "-" "-"
